id,name,start_lat,start_lon,start_elev_ft,end_lat,end_lon,end_elev_ft,vertical_change_ft
KR-001,east gully,44.32547643498259,-71.29249319295754,5016.4,44.32968986401872,-71.29364063245713,3930.4,-1086.0
KR-002,great gully lower,44.32794101629398,-71.29550849698217,4419.3,44.32882184538965,-71.29449214470239,4097.8,-321.5
KR-003,iced out,44.32606934932565,-71.29304248254604,4885.2,44.32946752246429,-71.29368310531831,3979.7,-905.5
KR-004,the muffin,44.32688081210679,-71.294471867649,4639.1,44.32829214983161,-71.29467642931226,4225.7,-413.4
KR-005,narrow gully,44.32980290258428,-71.29828748467847,4629.3,44.33182186534821,-71.296754017794,3825.5,-803.8
KR-006,great gully,44.32536342415511,-71.29657226410261,5154.2,44.32888164357797,-71.29438903383283,4097.8,-1056.4
KR-007,west gully,44.32768229706768,-71.29714657580433,4816.3,44.32893391389199,-71.29452043867376,4097.8,-718.5
CAS-001,baby sister,44.31187941574354,-71.31489265461538,4898.3,44.31548120503789,-71.31734391693983,3946.9,-951.4
CAS-002,middle sister,44.3126274420764,-71.31974181984086,4753.9,44.31405926553375,-71.31906765143529,4268.4,-485.6
CAS-003,south sister,44.31271557260699,-71.31855283696505,4671.9,44.3145508984273,-71.31857414703892,4156.8,-515.1
CAS-004,north sister,44.31257112467598,-71.32071395335547,4796.6,44.31537999790429,-71.31859780264745,3956.7,-839.9
JEF-001,abby's way,44.31548498125432,-71.3046705123528,5223.1,44.3104227851267,-71.30574624438887,4124.0,-1099.1
JEF-002,jefferson headwall,44.31026751925622,-71.3102206881105,4836.0,44.3095261435758,-71.3077145850541,4281.5,-554.5
JEF-003,stealth gully,44.30563208051856,-71.30868010483428,4993.4,44.30956619032033,-71.30621624021384,4071.5,-921.9
JEF-004,the beach,44.30588424409467,-71.31092478256706,5223.1,44.30566820966273,-71.30899326014075,5036.1,-187.0
GG-001,airplane gully,44.27817867964697,-71.31179348701671,5383.9,44.28040241210928,-71.30902112898411,4547.2,-836.6
GG-002,carousel gully,44.27521217193703,-71.307253960621,5794.0,44.27583532094651,-71.30619755384792,5597.1,-196.9
GG-003,drainpipe,44.2803989102736,-71.31318020775647,5272.3,44.2815503156644,-71.31104012152218,4576.8,-695.5
GG-004,junebug gully,44.27543274773486,-71.3075872097344,5718.5,44.27656466569555,-71.30693069407606,5360.9,-357.6
GG-005,MOTHER-IN-LAW GULLY,44.27462709542708,-71.30458317161961,5941.6,44.28167331466428,-71.30875690277865,4350.4,-1591.2
GG-006,pipeline gully,44.28190978465492,-71.31535871088015,5433.1,44.28200985472222,-71.31045504755993,4498.0,-935.0
GG-007,stinkbug gully,44.27567739166365,-71.30841935151643,5725.1,44.27720103936193,-71.30745284098653,5226.4,-498.7
GG-008,the hidden hallway,44.28397597341696,-71.31547409367339,5436.4,44.28474774870085,-71.30979807513584,4379.9,-1056.4
GG-009,the spacewalk,44.27716077011326,-71.31078113245944,5511.8,44.2783883368985,-71.31033608585167,5134.5,-377.3
GG-010,turkey chute,44.2762450555365,-71.30966267596752,5649.6,44.27881887122808,-71.30958868326496,4937.7,-711.9
GG-011,turkey feather,44.27601645460989,-71.30952582656354,5633.2,44.27829812655568,-71.30935240981503,5006.6,-626.6
GG-012,activator gully,44.28558848671912,-71.3151987707477,5459.3,44.28520834745736,-71.30991601922261,4461.9,-997.4
BR-001,north branch,44.28461856190388,-71.31877500424315,5206.7,44.27843903820116,-71.3351413731467,3336.6,-1870.1
BR-002,south branch,44.27826626318419,-71.3152894477047,5262.5,44.2785316954787,-71.33462370360931,3323.5,-1939.0
AR_001,south gully,44.26589309571339,-71.31705328091641,4767.1,44.26830015650425,-71.32345003838526,3704.1,-1063.0
AR_002,north branch,44.27124103815604,-71.31479041088595,5055.8,44.26836108315874,-71.3261084682122,3494.1,-1561.7
AR_003,central gully,44.26746698065138,-71.31742224321493,4675.2,44.26858138585051,-71.32570230596824,3523.6,-1151.6
MB-002,monroe brook 2,44.25767383680605,-71.32647804941236,4671.9,44.25860795076811,-71.32706589518327,4455.4,-216.5
MB-001,monroe brook 1,44.25794276869679,-71.32594015557588,4649.0,44.26463712665437,-71.33175698119769,3389.1,-1259.8
OG_001,airplane bowl,44.25577503992538,-71.30646828490482,5213.3,44.25243428684611,-71.30913006582223,4399.6,-813.6
OG_002,robinsons neighborhood,44.25465482508802,-71.3182840945688,5026.2,44.25318311782875,-71.315669171042,4645.7,-380.6
OG_003,right buttress,44.25576535046653,-71.31112981459401,5118.1,44.25430204810152,-71.31021895957116,4665.4,-452.8
OG_004,main gully,44.25724359697571,-71.31349724709044,5196.9,44.2536600979285,-71.31521148250434,4675.2,-521.7
OG_005,left buttress,44.25555123567785,-71.30933866580239,5088.6,44.25378804613632,-71.30999735225326,4599.7,-488.8
OG_006,double barrel west,44.25143827699241,-71.31756840197214,4878.6,44.25160644050596,-71.31478275884865,4416.0,-462.6
OG_007,double barrel east,44.25155009643033,-71.3173791910283,4904.9,44.25155062609075,-71.3160229212378,4635.8,-269.0
OG_008,central buttress,44.25618581436942,-71.31000234828544,5141.1,44.25410147700403,-71.31027088515675,4665.4,-475.7
MF_001,bifocal gully,44.2504350978365,-71.32953409822086,4911.4,44.24994205613892,-71.327204281608,4442.3,-469.2
MF_002,southern snowfields,44.25358946322133,-71.32057277989337,5101.7,44.25097593314802,-71.32527448288386,4501.3,-600.4
MF_003,franklin headwall,44.25297189665725,-71.32632557367677,5036.1,44.25070596365509,-71.32627264716255,4501.3,-534.8
MF_004,kite string couloir,44.24858814416132,-71.33048551596369,4885.2,44.24772386539566,-71.32782708117094,4294.6,-590.6
WC_001,central couloir,44.19167874152414,-71.38826344012172,3494.1,44.18912453804283,-71.39547834660736,1902.9,-1591.2
WC_002,shoestring gully,44.17957873288219,-71.38373209107061,2995.4,44.17687689132433,-71.39088488578422,1496.1,-1499.3
WC_003,greens chasm,44.19069896439962,-71.3875523708899,3566.3,44.19044887417039,-71.38952852931517,3038.1,-528.2
WC_004,mountaineers route,44.19463544711504,-71.38903230334472,3805.8,44.19154564839182,-71.39593951503569,2198.2,-1607.6
WC_005,landslide gully,44.18562864567084,-71.38558540422507,3300.5,44.18210895151069,-71.39647840636987,1361.5,-1939.0
